source,target,source label,label,predicate_type,predicate uri
11248,21468,vermicelli vegetable (enriched),preservation by dehydration or drying,formed as a result of,
11248,21570,vermicelli vegetable (enriched),nicotinic acid,has substance added,
11248,21571,vermicelli vegetable (enriched),riboflavin,has substance added,
11248,21572,vermicelli vegetable (enriched),iron added,has substance added,
11248,21522,vermicelli vegetable (enriched),nutrient or dietary substance added,has substance added,
11248,9118,vermicelli vegetable (enriched),obsolete: vegetable added,has substance added,
11248,21573,vermicelli vegetable (enriched),http://purl.obolibrary.org/obo/FOODON_03460309,has substance added,
11249,21486,rapeseed oil,liquid- high viscosity- with no visible particles,has quality,
11249,484,rapeseed oil,fat or oil,derives from,
11249,15738,rapeseed oil,food bleaching process,formed as a result of,
11252,18178,flavor concentrate in tablet form,whole- shape achieved by forming- thickness 0.3-1.5 cm.,has quality,
11252,21467,flavor concentrate in tablet form,water removal process,formed as a result of,
11253,9719,fruit juice drink (from extract),food (liquid),has quality,
11253,21479,fruit juice drink (from extract),fruit part,derives from,
11253,21602,fruit juice drink (from extract),rehydration process,formed as a result of,
11255,21464,cherry glace,whole- natural shape,has quality,
11255,21456,cherry glace,fully heat-treated,has quality,
11255,21594,cherry glace,fruit- peel present- core- pit or seed removed,derives from,
11255,21467,cherry glace,water removal process,formed as a result of,
11255,21517,cherry glace,candying process,formed as a result of,
11255,21487,cherry glace,sugar or sugar syrup added,has substance added,
11260,2282,peperoncino food product,divided into pieces,has quality,
11260,21456,peperoncino food product,fully heat-treated,has quality,
11260,21563,peperoncino food product,pod containing small- immature seed,derives from,
11260,21494,peperoncino food product,acidified,formed as a result of,
11260,10001,peperoncino food product,curing or aging process,formed as a result of,
11260,21481,peperoncino food product,flavoring- spice or herb added,has substance added,
11260,21634,peperoncino food product,packed in vinegar,immersed in,
11265,21464,pecan (whole- oil roasted),whole- natural shape,has quality,
11265,21456,pecan (whole- oil roasted),fully heat-treated,has quality,
11265,21516,pecan (whole- oil roasted),seed (anatomical part),derives from,
11265,19634,pecan (whole- oil roasted),cooking with added fat or oil,formed as a result of,
11265,21467,pecan (whole- oil roasted),water removal process,formed as a result of,
11265,21532,pecan (whole- oil roasted),fat or oil coated,formed as a result of,
11265,21543,pecan (whole- oil roasted),roasting seed process,formed as a result of,
11265,21468,pecan (whole- oil roasted),preservation by dehydration or drying,formed as a result of,
11266,14683,meat scrap,finely ground,has quality,
11266,21456,meat scrap,fully heat-treated,has quality,
11266,21598,meat scrap,animal body or body part,derives from,
11266,14503,meat scrap,cooking with inherent fat or oil,formed as a result of,
11266,21467,meat scrap,water removal process,formed as a result of,
11266,21561,meat scrap,partial fat removal process,formed as a result of,
11266,21468,meat scrap,preservation by dehydration or drying,formed as a result of,
11266,21685,meat scrap,animal as consumer,has consumer,
11267,21458,beef (partially defatted- cooked),solid,has quality,
11267,21456,beef (partially defatted- cooked),fully heat-treated,has quality,
11267,18315,beef (partially defatted- cooked),skeletal meat part- without bone or shell,derives from,
11267,21561,beef (partially defatted- cooked),partial fat removal process,formed as a result of,
11268,21474,dairy product (unstandardized),milk or milk component,derives from,
11269,21486,maple and cane syrup,liquid- high viscosity- with no visible particles,has quality,
11269,21456,maple and cane syrup,fully heat-treated,has quality,
11269,21496,maple and cane syrup,sugar syrup or syrup solids,derives from,
11269,21734,maple and cane syrup,http://purl.obolibrary.org/obo/FOODON_03460282,has substance added,
11270,5425,rice krispies cereal,whole- shape achieved by forming- thickness <0.3 cm.,has quality,
11270,21456,rice krispies cereal,fully heat-treated,has quality,
11270,21530,rice krispies cereal,seed- skin removed- germ removed (endosperm),derives from,
11270,20220,rice krispies cereal,food puffing process,formed as a result of,
11270,18446,rice krispies cereal,preservation by adding chemicals,formed as a result of,
11270,21470,rice krispies cereal,flavoring or taste ingredient added,has substance added,
11270,21533,rice krispies cereal,sucrose added,has substance added,
11270,21610,rice krispies cereal,mineral added,has substance added,
11270,21521,rice krispies cereal,http://purl.obolibrary.org/obo/FOODON_03460163,has substance added,
11270,21522,rice krispies cereal,nutrient or dietary substance added,has substance added,
11272,21464,watermelon (whole- raw),whole- natural shape,has quality,
11272,21462,watermelon (whole- raw),not heat-treated,has quality,
11272,21473,watermelon (whole- raw),fruit- peel present- core- pit or seed present,derives from,
11273,5743,bone meal used in animal feed,medium ground,has quality,
11273,20786,bone meal used in animal feed,bone or shell,derives from,
11273,21467,bone meal used in animal feed,water removal process,formed as a result of,
11273,21468,bone meal used in animal feed,preservation by dehydration or drying,formed as a result of,
11273,21685,bone meal used in animal feed,animal as consumer,has consumer,
11274,2954,chicken frankfurter,whole- shape achieved by forming- thickness 1.5-7 cm.,has quality,
11274,21456,chicken frankfurter,fully heat-treated,has quality,
11274,21537,chicken frankfurter,meat color- undesignated or unknown (deprecated),has quality,
11274,18315,chicken frankfurter,skeletal meat part- without bone or shell,derives from,
11274,21485,chicken frankfurter,smoked or smoke-flavored,formed as a result of,
11274,13038,chicken frankfurter,curing or aging < 2 weeks,formed as a result of,
11274,21519,chicken frankfurter,food homogenization or emulsification process,formed as a result of,
11274,21481,chicken frankfurter,flavoring- spice or herb added,has substance added,
11275,21483,wheat cracker,whole- shape achieved by forming,has quality,
11275,21456,wheat cracker,fully heat-treated,has quality,
11275,21530,wheat cracker,seed- skin removed- germ removed (endosperm),derives from,
11275,12823,wheat cracker,food baking process,formed as a result of,
11275,21511,wheat cracker,fat or oil added,has substance added,
11277,21597,fruit syrup calorie-reduced,semiliquid,has quality,
11277,21496,fruit syrup calorie-reduced,sugar syrup or syrup solids,derives from,
11277,21477,fruit syrup calorie-reduced,http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
11277,21488,fruit syrup calorie-reduced,reduced energy food,has consumer,
11281,14683,navy bean flour,finely ground,has quality,
11281,21457,navy bean flour,seed- skin present- germ present,derives from,
11281,21467,navy bean flour,water removal process,formed as a result of,
11281,21468,navy bean flour,preservation by dehydration or drying,formed as a result of,
11283,21483,butter-flavored candy,whole- shape achieved by forming,has quality,
11283,21456,butter-flavored candy,fully heat-treated,has quality,
11283,7427,butter-flavored candy,sugar,derives from,
11283,21470,butter-flavored candy,flavoring or taste ingredient added,has substance added,
11284,2978,cold-pack cheese,semisolid with smooth consistency,has quality,
11284,21460,cold-pack cheese,curd,derives from,
11284,4883,cold-pack cheese,lactic acid-other agent fermentation process,formed as a result of,
11285,21458,rye bread (artificially colored),solid,has quality,
11285,21456,rye bread (artificially colored),fully heat-treated,has quality,
11285,21530,rye bread (artificially colored),seed- skin removed- germ removed (endosperm),derives from,
11285,5366,rye bread (artificially colored),carbohydrate fermentation process,formed as a result of,
11285,21650,rye bread (artificially colored),rye plant as food source,has substance added,
11285,21495,rye bread (artificially colored),certified color added,has substance added,
11286,21540,potato soup,liquid- low viscosity- with solid pieces,has quality,
11286,21456,potato soup,fully heat-treated,has quality,
11286,10108,potato soup,root- tuber or bulb- without peel,derives from,
11286,21481,potato soup,flavoring- spice or herb added,has substance added,
11287,10224,hen egg omelette mix,formulated mix,has quality,
11287,21556,hen egg omelette mix,whole egg without shell,derives from,
11288,21483,turkey croquette,whole- shape achieved by forming,has quality,
11288,19022,turkey croquette,skeletal meat part- without bone- without skin,derives from,
11288,21567,turkey croquette,breaded or batter-coated,formed as a result of,
11288,21532,turkey croquette,fat or oil coated,formed as a result of,
11288,21534,turkey croquette,http://purl.obolibrary.org/obo/FOODON_03460186,has substance added,
11289,9719,tea concentrate (liquid),food (liquid),has quality,
11289,21482,tea concentrate (liquid),leaf,derives from,
11289,21467,tea concentrate (liquid),water removal process,formed as a result of,
11290,21491,jam (energy-containing sweetener not added),semisolid with solid pieces,has quality,
11290,21479,jam (energy-containing sweetener not added),fruit part,derives from,
11290,7931,jam (energy-containing sweetener not added),no sugars added claim or use,has consumer,
11291,5425,shrimp noodle,whole- shape achieved by forming- thickness <0.3 cm.,has quality,
11291,21530,shrimp noodle,seed- skin removed- germ removed (endosperm),derives from,
11291,21582,shrimp noodle,http://purl.obolibrary.org/obo/FOODON_03460153,has substance added,
11292,21483,noodle (egg- dumpling),whole- shape achieved by forming,has quality,
11292,21530,noodle (egg- dumpling),seed- skin removed- germ removed (endosperm),derives from,
11292,21534,noodle (egg- dumpling),http://purl.obolibrary.org/obo/FOODON_03460186,has substance added,
11293,21458,yellowtail tuna (in cottonseed oil- smoked),solid,has quality,
11293,18205,yellowtail tuna (in cottonseed oil- smoked),skeletal meat part,derives from,
11293,21485,yellowtail tuna (in cottonseed oil- smoked),smoked or smoke-flavored,formed as a result of,
11293,376,yellowtail tuna (in cottonseed oil- smoked),packed in vegetable oil,immersed in,
11294,21486,cream (sterilized- sour cream flavored),liquid- high viscosity- with no visible particles,has quality,
11294,21459,cream (sterilized- sour cream flavored),partially heat-treated,has quality,
11294,7673,cream (sterilized- sour cream flavored),cream food product,derives from,
11294,21592,cream (sterilized- sour cream flavored),preservation by heat treatment,formed as a result of,
11294,21470,cream (sterilized- sour cream flavored),flavoring or taste ingredient added,has substance added,
11295,21491,papaw and mango chutney,semisolid with solid pieces,has quality,
11295,21503,papaw and mango chutney,fruit- peel removed- core- pit or seed removed,derives from,
11295,21529,papaw and mango chutney,spice or herb added,has substance added,
11295,21533,papaw and mango chutney,sucrose added,has substance added,
11307,21464,conch (raw),whole- natural shape,has quality,
11307,21462,conch (raw),not heat-treated,has quality,
11307,21508,conch (raw),whole animal or most parts used,derives from,
11308,8096,spice oleoresins,essential oil- oleoresin or other flavoring substance,derives from,
11309,2978,safflower oil margarine,semisolid with smooth consistency,has quality,
11309,21459,safflower oil margarine,partially heat-treated,has quality,
11309,484,safflower oil margarine,fat or oil,derives from,
11309,21461,safflower oil margarine,pasteurization by heating,formed as a result of,
11309,5278,safflower oil margarine,vitamin a or carotenes added,has substance added,
11311,21464,olive (stuffed with anchovy- in brine),whole- natural shape,has quality,
11311,21594,olive (stuffed with anchovy- in brine),fruit- peel present- core- pit or seed removed,derives from,
11311,15328,olive (stuffed with anchovy- in brine),lactic acid fermentation process,formed as a result of,
11311,21499,olive (stuffed with anchovy- in brine),salted,formed as a result of,
11311,21501,olive (stuffed with anchovy- in brine),food filling process,formed as a result of,
11311,10001,olive (stuffed with anchovy- in brine),curing or aging process,formed as a result of,
11311,21582,olive (stuffed with anchovy- in brine),http://purl.obolibrary.org/obo/FOODON_03460153,has substance added,
11311,21569,olive (stuffed with anchovy- in brine),packed in salt brine,immersed in,
11316,2954,pie (frozen),whole- shape achieved by forming- thickness 1.5-7 cm.,has quality,
11316,21456,pie (frozen),fully heat-treated,has quality,
11316,12823,pie (frozen),food baking process,formed as a result of,
11316,21501,pie (frozen),food filling process,formed as a result of,
11316,21476,pie (frozen),preservation by freezing,formed as a result of,
11316,21510,pie (frozen),grain added,has substance added,
11317,21459,pasteurized blended cheese with fruits vegetables or meats,partially heat-treated,has quality,
11317,21504,pasteurized blended cheese with fruits vegetables or meats,milk (mammary secretion),derives from,
11317,7886,pasteurized blended cheese with fruits vegetables or meats,microbial/enzymatic modification process,formed as a result of,
11317,21461,pasteurized blended cheese with fruits vegetables or meats,pasteurization by heating,formed as a result of,
11317,21477,pasteurized blended cheese with fruits vegetables or meats,http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
11317,14198,pasteurized blended cheese with fruits vegetables or meats,obsolete: meat added,has substance added,
11317,9118,pasteurized blended cheese with fruits vegetables or meats,obsolete: vegetable added,has substance added,
11321,21467,dessert concentrate,water removal process,formed as a result of,
11322,14683,barley flour,finely ground,has quality,
11322,21462,barley flour,not heat-treated,has quality,
11322,21516,barley flour,seed (anatomical part),derives from,
11322,21467,barley flour,water removal process,formed as a result of,
11322,21468,barley flour,preservation by dehydration or drying,formed as a result of,
11324,9719,artificial sweetener (liquid),food (liquid),has quality,
11324,21469,artificial sweetener (liquid),nonnutritive sweetener added,has substance added,
11324,6154,artificial sweetener (liquid),dietary claim or use,has consumer,
11326,21458,cereal product (solid),solid,has quality,
11326,21516,cereal product (solid),seed (anatomical part),derives from,
11329,21464,balut,whole- natural shape,has quality,
11329,21456,balut,fully heat-treated,has quality,
11329,21550,balut,egg,derives from,
11329,11369,balut,boiling,formed as a result of,
11330,21464,lobster tomalley (raw),whole- natural shape,has quality,
11330,21462,lobster tomalley (raw),not heat-treated,has quality,
11330,21619,lobster tomalley (raw),liver,derives from,
11336,21458,vegetable protein (textured),solid,has quality,
11336,8124,vegetable protein (textured),heat-treated,has quality,
11336,11576,vegetable protein (textured),protein extract- concentrate or isolate,derives from,
11338,21458,elephant meat (raw),solid,has quality,
11338,21462,elephant meat (raw),not heat-treated,has quality,
11338,18205,elephant meat (raw),skeletal meat part,derives from,
11340,2978,chicken (strained),semisolid with smooth consistency,has quality,
11340,21456,chicken (strained),fully heat-treated,has quality,
11340,21537,chicken (strained),meat color- undesignated or unknown (deprecated),has quality,
11340,19022,chicken (strained),skeletal meat part- without bone- without skin,derives from,
11342,14683,cocoa (breakfast),finely ground,has quality,
11342,21456,cocoa (breakfast),fully heat-treated,has quality,
11342,21530,cocoa (breakfast),seed- skin removed- germ removed (endosperm),derives from,
11342,21467,cocoa (breakfast),water removal process,formed as a result of,
11342,21468,cocoa (breakfast),preservation by dehydration or drying,formed as a result of,
11348,9719,mammalian milk for infant,food (liquid),has quality,
11348,21504,mammalian milk for infant,milk (mammary secretion),derives from,
11348,21528,mammalian milk for infant,infant or toddler consumer,has consumer,
11352,21464,maraschino cherry (green),whole- natural shape,has quality,
11352,21594,maraschino cherry (green),fruit- peel present- core- pit or seed removed,derives from,
11352,21472,maraschino cherry (green),flavoring or spice extract or concentrate added,has substance added,
11352,21487,maraschino cherry (green),sugar or sugar syrup added,has substance added,
11352,21513,maraschino cherry (green),color added,has substance added,
11354,21502,brown rice miso,semisolid,has quality,
11354,21456,brown rice miso,fully heat-treated,has quality,
11354,21457,brown rice miso,seed- skin present- germ present,derives from,
11354,21658,brown rice miso,fermentation/modification process- multiple component,formed as a result of,
11354,21499,brown rice miso,salted,formed as a result of,
11354,10001,brown rice miso,curing or aging process,formed as a result of,
11354,21509,brown rice miso,preservation by fermentation,formed as a result of,
11354,21510,brown rice miso,grain added,has substance added,
11356,2978,fruit flavor paste,semisolid with smooth consistency,has quality,
11356,21479,fruit flavor paste,fruit part,derives from,
11356,21467,fruit flavor paste,water removal process,formed as a result of,
11357,5743,white corn meal (self-rising),medium ground,has quality,
11357,21530,white corn meal (self-rising),seed- skin removed- germ removed (endosperm),derives from,
11357,21467,white corn meal (self-rising),water removal process,formed as a result of,
11357,21468,white corn meal (self-rising),preservation by dehydration or drying,formed as a result of,
11357,21686,white corn meal (self-rising),chemical leavening agent added,has substance added,
11359,18366,mixed vegetables (canned),can- bottle or jar,surrounded by,
11359,21458,mixed vegetables (canned),solid,has quality,
11359,21459,mixed vegetables (canned),partially heat-treated,has quality,
11359,18497,mixed vegetables (canned),part of plant,derives from,
11359,21484,mixed vegetables (canned),sterilization by heating,formed as a result of,
11359,21564,mixed vegetables (canned),packed in water,immersed in,
11360,21464,spring water lobster (raw),whole- natural shape,has quality,
11360,21462,spring water lobster (raw),not heat-treated,has quality,
11360,21508,spring water lobster (raw),whole animal or most parts used,derives from,
11366,21458,panettone,solid,has quality,
11366,21456,panettone,fully heat-treated,has quality,
11366,21530,panettone,seed- skin removed- germ removed (endosperm),derives from,
11366,5366,panettone,carbohydrate fermentation process,formed as a result of,
11366,21477,panettone,http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
11366,21533,panettone,sucrose added,has substance added,
11366,21590,panettone,http://purl.obolibrary.org/obo/FOODON_03460184,has substance added,
11366,21534,panettone,http://purl.obolibrary.org/obo/FOODON_03460186,has substance added,
11366,21481,panettone,flavoring- spice or herb added,has substance added,
11366,21642,panettone,margarine added,has substance added,
11368,2978,shortening with freshness preserver,semisolid with smooth consistency,has quality,
11368,484,shortening with freshness preserver,fat or oil,derives from,
11370,9719,soup (japanese style),food (liquid),has quality,
11370,21456,soup (japanese style),fully heat-treated,has quality,
11370,9170,soup (japanese style),part of algae or fungus,derives from,
11370,1730,soup (japanese style),cooking by simmering,formed as a result of,
11370,21492,soup (japanese style),alcoholated,formed as a result of,
11370,21737,soup (japanese style),monosodium glutamate,has substance added,
11370,21607,soup (japanese style),water addition process,has substance added,
11370,21582,soup (japanese style),http://purl.obolibrary.org/obo/FOODON_03460153,has substance added,
11370,21481,soup (japanese style),flavoring- spice or herb added,has substance added,
11371,21458,crustacean product (chilled),solid,has quality,
11371,21598,crustacean product (chilled),animal body or body part,derives from,
11372,484,vegetable fat analog of whipped cream,fat or oil,derives from,
11372,21554,vegetable fat analog of whipped cream,food aeration by whipping,formed as a result of,
11373,21458,smoked meat (vacuum-packed),solid,has quality,
11373,18205,smoked meat (vacuum-packed),skeletal meat part,derives from,
11373,21485,smoked meat (vacuum-packed),smoked or smoke-flavored,formed as a result of,
11373,1316,smoked meat (vacuum-packed),vacuum-packed,immersed in,
11375,14683,sauce powder,finely ground,has quality,
11375,7107,sauce powder,dry mix,has quality,
11375,21468,sauce powder,preservation by dehydration or drying,formed as a result of,
11381,21483,rice cake,whole- shape achieved by forming,has quality,
11381,21459,rice cake,partially heat-treated,has quality,
11381,21466,rice cake,starch,derives from,
11381,21461,rice cake,pasteurization by heating,formed as a result of,
11383,21464,louisiana spiny lobster (raw),whole- natural shape,has quality,
11383,21462,louisiana spiny lobster (raw),not heat-treated,has quality,
11383,21508,louisiana spiny lobster (raw),whole animal or most parts used,derives from,
11385,21464,moreton bay chestnut black bean (in oil),whole- natural shape,has quality,
11385,21457,moreton bay chestnut black bean (in oil),seed- skin present- germ present,derives from,
11385,14879,moreton bay chestnut black bean (in oil),packed in fat or oil,immersed in,
11391,2978,imitation margarine,semisolid with smooth consistency,has quality,
11391,484,imitation margarine,fat or oil,derives from,
11392,9719,obsolete: distilled spirits,food (liquid),has quality,
11392,21456,obsolete: distilled spirits,fully heat-treated,has quality,
11392,18497,obsolete: distilled spirits,part of plant,derives from,
11392,13230,obsolete: distilled spirits,alcohol fermentation process,formed as a result of,
11392,8589,obsolete: distilled spirits,food distillation process,formed as a result of,
11392,21509,obsolete: distilled spirits,preservation by fermentation,formed as a result of,
11393,2954,pumpkin pie (baked),whole- shape achieved by forming- thickness 1.5-7 cm.,has quality,
11393,21456,pumpkin pie (baked),fully heat-treated,has quality,
11393,21503,pumpkin pie (baked),fruit- peel removed- core- pit or seed removed,derives from,
11393,12823,pumpkin pie (baked),food baking process,formed as a result of,
11393,21501,pumpkin pie (baked),food filling process,formed as a result of,
11393,21529,pumpkin pie (baked),spice or herb added,has substance added,
11393,21533,pumpkin pie (baked),sucrose added,has substance added,
11393,21590,pumpkin pie (baked),http://purl.obolibrary.org/obo/FOODON_03460184,has substance added,
11393,21534,pumpkin pie (baked),http://purl.obolibrary.org/obo/FOODON_03460186,has substance added,
11393,21511,pumpkin pie (baked),fat or oil added,has substance added,
11396,2954,pineapple pie,whole- shape achieved by forming- thickness 1.5-7 cm.,has quality,
11396,21456,pineapple pie,fully heat-treated,has quality,
11396,21503,pineapple pie,fruit- peel removed- core- pit or seed removed,derives from,
11396,12823,pineapple pie,food baking process,formed as a result of,
11396,21501,pineapple pie,food filling process,formed as a result of,
11396,21510,pineapple pie,grain added,has substance added,
11396,21533,pineapple pie,sucrose added,has substance added,
11397,21456,imitation flavored beverage base (artificially sweetened),fully heat-treated,has quality,
11397,5438,imitation flavored beverage base (artificially sweetened),beverage base,has quality,
11397,11479,imitation flavored beverage base (artificially sweetened),flavoring added- artificial,formed as a result of,
11397,21469,imitation flavored beverage base (artificially sweetened),nonnutritive sweetener added,has substance added,
11398,21458,bran cereal,solid,has quality,
11398,21456,bran cereal,fully heat-treated,has quality,
11398,21512,bran cereal,skin or bran (pericarp),derives from,
11398,21467,bran cereal,water removal process,formed as a result of,
11398,21468,bran cereal,preservation by dehydration or drying,formed as a result of,
11401,5438,fruit juice punch beverage base,beverage base,has quality,
11401,21494,fruit juice punch beverage base,acidified,formed as a result of,
11401,21477,fruit juice punch beverage base,http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
11401,21490,fruit juice punch beverage base,sweetener added,has substance added,
11401,21481,fruit juice punch beverage base,flavoring- spice or herb added,has substance added,
11402,21464,roast beef (frozen),whole- natural shape,has quality,
11402,21456,roast beef (frozen),fully heat-treated,has quality,
11402,18205,roast beef (frozen),skeletal meat part,derives from,
11402,12823,roast beef (frozen),food baking process,formed as a result of,
11404,21504,dessert preparation (milk-based- unstandardized),milk (mammary secretion),derives from,
11405,21458,beef bone marrow extract for flavoring,solid,has quality,
11405,21520,beef bone marrow extract for flavoring,extract- concentrate or isolate of plant or animal,derives from,
11405,21529,beef bone marrow extract for flavoring,spice or herb added,has substance added,
11405,21641,beef bone marrow extract for flavoring,animal fat or oil added,has substance added,
11406,21463,chocolate milk (sterilized- sweetened),liquid- low viscosity- with no visible particles,has quality,
11406,21456,chocolate milk (sterilized- sweetened),fully heat-treated,has quality,
11406,21504,chocolate milk (sterilized- sweetened),milk (mammary secretion),derives from,
11406,7886,chocolate milk (sterilized- sweetened),microbial/enzymatic modification process,formed as a result of,
11406,10001,chocolate milk (sterilized- sweetened),curing or aging process,formed as a result of,
11406,21484,chocolate milk (sterilized- sweetened),sterilization by heating,formed as a result of,
11406,21490,chocolate milk (sterilized- sweetened),sweetener added,has substance added,
11406,21498,chocolate milk (sterilized- sweetened),chocolate or cocoa added,has substance added,
11415,14683,instant tea powder,finely ground,has quality,
11415,21456,instant tea powder,fully heat-treated,has quality,
11415,12926,instant tea powder,beverage base- dry,has quality,
11415,21482,instant tea powder,leaf,derives from,
11415,21467,instant tea powder,water removal process,formed as a result of,
11415,21562,instant tea powder,instantizing process,formed as a result of,
11415,21468,instant tea powder,preservation by dehydration or drying,formed as a result of,
11416,2282,squaw tea (dry),divided into pieces,has quality,
11416,21595,squaw tea (dry),plant above surface- excluding fruit and seed,derives from,
11416,21467,squaw tea (dry),water removal process,formed as a result of,
11416,21468,squaw tea (dry),preservation by dehydration or drying,formed as a result of,
11417,18717,green bean (sliced- in sauce- frozen),plastic boil-in-bag,surrounded by,
11417,21480,green bean (sliced- in sauce- frozen),sliced,has quality,
11417,21738,green bean (sliced- in sauce- frozen),pod containing full-size seeds,derives from,
11417,11205,green bean (sliced- in sauce- frozen),plastic,adjacent to,http://purl.obolibrary.org/obo/RO_0002220
11417,21476,green bean (sliced- in sauce- frozen),preservation by freezing,formed as a result of,
11417,21470,green bean (sliced- in sauce- frozen),flavoring or taste ingredient added,has substance added,
11417,21513,green bean (sliced- in sauce- frozen),color added,has substance added,
11417,21641,green bean (sliced- in sauce- frozen),animal fat or oil added,has substance added,
11417,21548,green bean (sliced- in sauce- frozen),butter added,has substance added,
11417,15477,green bean (sliced- in sauce- frozen),packed in gravy or sauce,immersed in,
11419,18366,mushroom soup (canned),can- bottle or jar,surrounded by,
11419,21540,mushroom soup (canned),liquid- low viscosity- with solid pieces,has quality,
11419,21456,mushroom soup (canned),fully heat-treated,has quality,
11419,18436,mushroom soup (canned),whole plant or most parts used,derives from,
11419,21542,mushroom soup (canned),flavoring- spice or herb added- natural,formed as a result of,
11419,21484,mushroom soup (canned),sterilization by heating,formed as a result of,
11421,2282,coconut (grated),divided into pieces,has quality,
11421,21462,coconut (grated),not heat-treated,has quality,
11421,21465,coconut (grated),seed- skin removed- germ present,derives from,
11422,21458,barracuda (raw),solid,has quality,
11422,21462,barracuda (raw),not heat-treated,has quality,
11422,18205,barracuda (raw),skeletal meat part,derives from,
11424,21507,tuna (canned),can,surrounded by,
11424,2282,tuna (canned),divided into pieces,has quality,
11424,21456,tuna (canned),fully heat-treated,has quality,
11424,19022,tuna (canned),skeletal meat part- without bone- without skin,derives from,
11424,6813,tuna (canned),seafood enamel,adjacent to,http://purl.obolibrary.org/obo/RO_0002220
11424,21484,tuna (canned),sterilization by heating,formed as a result of,
11426,21458,samsoe cheese,solid,has quality,
11426,21456,samsoe cheese,fully heat-treated,has quality,
11426,21460,samsoe cheese,curd,derives from,
11426,4883,samsoe cheese,lactic acid-other agent fermentation process,formed as a result of,
11426,10001,samsoe cheese,curing or aging process,formed as a result of,
11429,21483,capsules based on gelatin,whole- shape achieved by forming,has quality,
11429,21624,capsules based on gelatin,gelatin,derives from,
11430,21521,multivitamin preparation,http://purl.obolibrary.org/obo/FOODON_03460163,has substance added,
11430,21522,multivitamin preparation,nutrient or dietary substance added,has substance added,
11431,21486,shortening- liquid,liquid- high viscosity- with no visible particles,has quality,
11431,484,shortening- liquid,fat or oil,derives from,
11432,21479,preserved plum,fruit part,derives from,
11433,9719,soft drink (energy-containing sweetener not added),food (liquid),has quality,
11433,7931,soft drink (energy-containing sweetener not added),no sugars added claim or use,has consumer,
11438,2282,apple (raw- peeled- pieces- for commercial bakery use),divided into pieces,has quality,
11438,21462,apple (raw- peeled- pieces- for commercial bakery use),not heat-treated,has quality,
11438,21503,apple (raw- peeled- pieces- for commercial bakery use),fruit- peel removed- core- pit or seed removed,derives from,
11439,21483,chocolate mousse ball,whole- shape achieved by forming,has quality,
11439,21456,chocolate mousse ball,fully heat-treated,has quality,
11439,7886,chocolate mousse ball,microbial/enzymatic modification process,formed as a result of,
11439,10001,chocolate mousse ball,curing or aging process,formed as a result of,
11439,21487,chocolate mousse ball,sugar or sugar syrup added,has substance added,
11439,21615,chocolate mousse ball,http://purl.obolibrary.org/obo/FOODON_03460205,has substance added,
11439,21498,chocolate mousse ball,chocolate or cocoa added,has substance added,
11439,21523,chocolate mousse ball,dairy product added,has substance added,
11439,21685,chocolate mousse ball,animal as consumer,has consumer,
11442,21483,candy (pill-shaped),whole- shape achieved by forming,has quality,
11442,21456,candy (pill-shaped),fully heat-treated,has quality,
11442,7427,candy (pill-shaped),sugar,derives from,
11449,21458,meat product (jelly coated- cooked),solid,has quality,
11449,21456,meat product (jelly coated- cooked),fully heat-treated,has quality,
11449,18205,meat product (jelly coated- cooked),skeletal meat part,derives from,
11449,9072,meat product (jelly coated- cooked),alkaloid or purine removal process,formed as a result of,
11450,14683,ice cream mix (powdered),finely ground,has quality,
11450,21459,ice cream mix (powdered),partially heat-treated,has quality,
11450,7107,ice cream mix (powdered),dry mix,has quality,
11450,21474,ice cream mix (powdered),milk or milk component,derives from,
11450,21467,ice cream mix (powdered),water removal process,formed as a result of,
11450,21468,ice cream mix (powdered),preservation by dehydration or drying,formed as a result of,
11451,2978,butterscotch creme pudding,semisolid with smooth consistency,has quality,
11451,21456,butterscotch creme pudding,fully heat-treated,has quality,
11451,21504,butterscotch creme pudding,milk (mammary secretion),derives from,
11451,21470,butterscotch creme pudding,flavoring or taste ingredient added,has substance added,
11451,21487,butterscotch creme pudding,sugar or sugar syrup added,has substance added,
11451,21565,butterscotch creme pudding,starch added,has substance added,
11453,21464,clam (smoked),whole- natural shape,has quality,
11453,21508,clam (smoked),whole animal or most parts used,derives from,
11453,21485,clam (smoked),smoked or smoke-flavored,formed as a result of,
11457,14683,horseradish (powdered),finely ground,has quality,
11457,10108,horseradish (powdered),root- tuber or bulb- without peel,derives from,
11457,21467,horseradish (powdered),water removal process,formed as a result of,
11457,21468,horseradish (powdered),preservation by dehydration or drying,formed as a result of,
11459,18366,chestnut (canned- in water),can- bottle or jar,surrounded by,
11459,21458,chestnut (canned- in water),solid,has quality,
11459,21456,chestnut (canned- in water),fully heat-treated,has quality,
11459,21465,chestnut (canned- in water),seed- skin removed- germ present,derives from,
11459,21484,chestnut (canned- in water),sterilization by heating,formed as a result of,
11459,21564,chestnut (canned- in water),packed in water,immersed in,
11461,21600,peach juice,liquid- low viscosity- with small particles,has quality,
11461,21594,peach juice,fruit- peel present- core- pit or seed removed,derives from,
11462,21464,bean (frozen),whole- natural shape,has quality,
